hparams_hash,learning_rate,layer_sizes,dropout_rates,batch_norm,weight_decay,batch_size,leaky_relu_negative_slope,num_epochs,scheduler_mode,scheduler_factor,scheduler_patience,scheduler_threshold,scheduler_cooldown,early_stopping_mode,early_stopping_patience,early_stopping_delta,val_loss,val_accuracy,computation_time,final_num_epochs,lr_reduction_epochs,log_filename
3b4f0d9e3c81be5bc72b39b45c4f8d95,1e-05,"[256, 128, 64]","[0.1, 0.1, 0.1]","[true, true, true]",0.0,16,0.01,100,"""min""",0.1,3,0.0001,0,"""min""",5,0.0001,0.4192429808408022,87.13,726.2115743160248,47,[45],training_log_3b4f0d9e3c81be5bc72b39b45c4f8d95.json
17b0d65f38dbfa8843771dd9d58c5633,1e-05,"[256, 128, 64]","[0.1, 0.1, 0.1]","[true, true, true]",0.0,16,0.05,100,"""min""",0.1,3,0.0001,0,"""min""",5,0.0001,0.3706985736332834,88.91,1229.4502136707306,79,[77],training_log_17b0d65f38dbfa8843771dd9d58c5633.json
1c9541a11996cbbf443bbd03e4d95017,1e-05,"[256, 128, 64]","[0.1, 0.1, 0.1]","[true, true, true]",0.0,16,0.1,100,"""min""",0.1,3,0.0001,0,"""min""",5,0.0001,0.38339719646424053,88.31,1055.5681524276733,68,[66],training_log_1c9541a11996cbbf443bbd03e4d95017.json
6fac91226962250a7e8ddad93113dc1a,1e-05,"[256, 128, 64]","[0.1, 0.1, 0.1]","[true, true, true]",0.0,16,0.2,100,"""min""",0.1,3,0.0001,0,"""min""",5,0.0001,0.41670704737603664,87.34,968.7344076633453,62,[60],training_log_6fac91226962250a7e8ddad93113dc1a.json
9cba72051720630ca109a61fb32819b0,1e-05,"[256, 128, 64]","[0.1, 0.1, 0.1]","[true, true, true]",0.0,32,0.01,100,"""min""",0.1,3,0.0001,0,"""min""",5,0.0001,0.3826924138032971,88.69,886.0764236450195,73,"[66, 71]",training_log_9cba72051720630ca109a61fb32819b0.json
397f9e0d4281d18a4965314e0833dc41,1e-05,"[256, 128, 64]","[0.1, 0.1, 0.1]","[true, true, true]",0.0,16,0.01,200,"""min""",0.1,3,0.0001,0,"""min""",5,0.0001,0.42520152689516544,86.89,723.6036624908447,46,[44],training_log_397f9e0d4281d18a4965314e0833dc41.json
f2d523db50312ef1436c7d8d130618c4,1e-05,"[256, 128, 64]","[0.1, 0.1, 0.1]","[true, true, true]",0.0,16,0.05,200,"""min""",0.1,3,0.0001,0,"""min""",5,0.0001,0.4199801272779703,87.16,734.4200539588928,47,[45],training_log_f2d523db50312ef1436c7d8d130618c4.json
8defaaa0753b131cc32a0a09a3af27a7,1e-05,"[256, 128, 64]","[0.1, 0.1, 0.1]","[true, true, true]",0.0,16,0.1,200,"""min""",0.1,3,0.0001,0,"""min""",5,0.0001,0.40757858011722564,87.7,906.8641755580902,58,[56],training_log_8defaaa0753b131cc32a0a09a3af27a7.json
c678a333077f297254177ea9944d129b,1e-05,"[256, 128, 64]","[0.1, 0.1, 0.1]","[true, true, true]",0.0,16,0.2,200,"""min""",0.1,3,0.0001,0,"""min""",5,0.0001,0.4186330638900399,87.15,1166.3773787021637,74,"[67, 72]",training_log_c678a333077f297254177ea9944d129b.json
d5a6f78b9b64d015e25396d785bedb9f,1e-05,"[256, 128, 64]","[0.1, 0.1, 0.1]","[true, true, true]",0.0,32,0.01,200,"""min""",0.1,3,0.0001,0,"""min""",5,0.0001,0.38525383851636713,88.05,855.7004427909851,69,[67],training_log_d5a6f78b9b64d015e25396d785bedb9f.json
370073873566109c26b6a136197f6215,1e-05,"[256, 128, 64]","[0.1, 0.1, 0.1]","[true, true, true]",0.0,32,0.05,200,"""min""",0.1,3,0.0001,0,"""min""",5,0.0001,0.40328096663847135,87.83,832.8376758098602,68,[60],training_log_370073873566109c26b6a136197f6215.json
864e9823173ed454f9b433f4c8babc5d,1e-05,"[256, 128, 64]","[0.1, 0.1, 0.1]","[true, true, true]",0.0,32,0.1,200,"""min""",0.1,3,0.0001,0,"""min""",5,0.0001,0.38959908418166944,88.15,893.4440882205963,73,[71],training_log_864e9823173ed454f9b433f4c8babc5d.json
dd72d67089991ce6224dfe85f374fa87,0.01,"[256, 128, 64]","[0.1, 0.1, 0.1]","[true, true, true]",0.0,16,0.01,200,"""min""",0.1,3,0.0001,0,"""min""",5,0.0001,0.30546546701360494,91.97,229.5423481464386,15,[13],training_log_dd72d67089991ce6224dfe85f374fa87.json
342ef32c8f94fe01f65a4d57437014c3,0.001,"[128, 64]","[0.1, 0.1]","[true, true]",0.0,16,0.01,200,"""min""",0.1,3,0.0001,0,"""min""",5,0.0001,0.3439619656793773,90.37,318.27368807792664,23,[21],training_log_342ef32c8f94fe01f65a4d57437014c3.json
aaed78a3954b6041f7201e3822e46ef3,0.001,"[128, 64]","[0.1, 0.1]","[true, true]",0.0,16,0.1,200,"""min""",0.1,3,0.0001,0,"""min""",5,0.0001,0.3556436736531556,90.13,388.60096073150635,28,"[16, 26]",training_log_aaed78a3954b6041f7201e3822e46ef3.json
d9513e17cce359c6c0d7f1549015d81d,0.001,"[128, 64]","[0.1, 0.1]","[true, true]",0.0,32,0.01,200,"""min""",0.1,3,0.0001,0,"""min""",5,0.0001,0.3652247051818493,90.41,232.7415907382965,21,"[10, 19]",training_log_d9513e17cce359c6c0d7f1549015d81d.json
8ea52288255b0c3b894b92b2490e7d1e,0.001,"[128, 64]","[0.1, 0.1]","[true, true]",0.0,32,0.1,200,"""min""",0.1,3,0.0001,0,"""min""",5,0.0001,0.3451493989271573,90.57,359.9936864376068,32,"[13, 19, 30]",training_log_8ea52288255b0c3b894b92b2490e7d1e.json
14c688cd59a956391e3818d42ff0fc69,0.001,"[128, 64]","[0.1, 0.1]","[true, true]",0.0,64,0.01,200,"""min""",0.1,3,0.0001,0,"""min""",5,0.0001,0.3696112376014898,90.28,123.18409252166748,13,[11],training_log_14c688cd59a956391e3818d42ff0fc69.json
3821c6105d63afefbc24665256c99013,0.001,"[128, 64]","[0.1, 0.1]","[true, true]",0.0,64,0.1,200,"""min""",0.1,3,0.0001,0,"""min""",5,0.0001,0.3680558150076562,90.59,316.5039806365967,32,"[16, 21, 30]",training_log_3821c6105d63afefbc24665256c99013.json
9fffa6f213fbc1c0fbddf8bb9dd2dc08,0.001,"[128, 64]","[0.1, 0.1]","[true, true]",0.0,128,0.01,200,"""min""",0.1,3,0.0001,0,"""min""",5,0.0001,0.3792571378282354,89.96,133.05831098556519,15,[13],training_log_9fffa6f213fbc1c0fbddf8bb9dd2dc08.json
