hparams_hash,learning_rate,layer_sizes,dropout_rates,weight_decay,batch_size,leaky_relu_negative_slope,num_epochs,early_stopping_patience,early_stopping_min_delta,scheduler_mode,scheduler_factor,scheduler_patience,scheduler_threshold,scheduler_cooldown,val_loss,computation_time,final_num_epochs,lr_reduction_epochs,log_filename
47465a76e1300e2b4ac1886968df75c6,1e-05,"[800, 200, 25]","[0.1, 0.1, 0.1]",0,16,0.01,200,5,0.0001,"""min""",0.1,3,0.0001,0,0.2850327984571457,3184.280014514923,200,[],training_log_47465a76e1300e2b4ac1886968df75c6.json
a6eccbe5c487dc9907c2ec1cbd129e8b,0.01,"[800, 200, 25]","[0.1, 0.1, 0.1]",0,16,0.01,200,5,0.0001,"""min""",0.1,3,0.0001,0,0.4264165909767151,168.6869204044342,11,[9],training_log_a6eccbe5c487dc9907c2ec1cbd129e8b.json
9f9c20300fa2fc52fff3e57b75227e37,0.01,"[800, 200, 25]","[0.1, 0.1, 0.1]",0,16,0.05,200,5,0.0001,"""min""",0.1,3,0.0001,0,0.42724799036979677,205.3129265,14,[12],training_log_9f9c20300fa2fc52fff3e57b75227e37.json
004d6524a63f04de4941f0e825bec6fe,0.01,"[800, 200, 25]","[0.1, 0.1, 0.1]",0,16,0.1,200,5,0.0001,"""min""",0.1,3,0.0001,0,0.4263303172111511,110.96501994132996,8,[6],training_log_004d6524a63f04de4941f0e825bec6fe.json
d070855605cbe9c2f18f58d262994253,0.01,"[800, 200, 25]","[0.1, 0.1, 0.1]",0,16,0.2,200,5,0.0001,"""min""",0.1,3,0.0001,0,0.4048411533355713,187.68326783180237,13,"[5, 11]",training_log_d070855605cbe9c2f18f58d262994253.json
9290c76d66249ea8c50bbeaa251fd5b0,0.01,"[800, 200, 25]","[0.1, 0.1, 0.1]",0,32,0.01,200,5,0.0001,"""min""",0.1,3,0.0001,0,0.4265670329808427,174.69273400306702,15,[13],training_log_9290c76d66249ea8c50bbeaa251fd5b0.json
8f83409c9a1869a1e646365bd91dfe2f,0.01,"[800, 200, 25]","[0.1, 0.1, 0.1]",0,32,0.05,200,5,0.0001,"""min""",0.1,3,0.0001,0,0.4274676723030809,155.26658153533936,13,[11],training_log_8f83409c9a1869a1e646365bd91dfe2f.json
17140532d59110abf7f25492181f3c16,0.01,"[800, 200, 25]","[0.1, 0.1, 0.1]",0,32,0.1,200,5,0.0001,"""min""",0.1,3,0.0001,0,0.4275329865205783,87.32110571861267,8,[6],training_log_17140532d59110abf7f25492181f3c16.json
2498b8489f998f6d7802c948f0ca1e91,0.01,"[800, 200, 25]","[0.1, 0.1, 0.1]",0,32,0.2,200,5,0.0001,"""min""",0.1,3,0.0001,0,0.3949855705990959,199.81193137168884,17,[15],training_log_2498b8489f998f6d7802c948f0ca1e91.json
527c151284d91a01126ef4183453db1d,0.01,"[800, 200, 25]","[0.1, 0.1, 0.1]",0,64,0.01,200,5,0.0001,"""min""",0.1,3,0.0001,0,0.4021385412686949,129.20429372787476,13,[11],training_log_527c151284d91a01126ef4183453db1d.json
